Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-03-06,60.34,60.69,59.64,59.94,15413,EQ,96,160.55,13005
2026-03-09,59.94,59.94,57.39,58.69,12086,EQ,100,120.86,6716
2026-03-10,58.7,59.87,58.7,59.68,8697,EQ,57,152.58,8154
2026-03-11,59.97,60.97,58.5,58.8,39861,EQ,124,321.46,33623
2026-03-12,59.18,59.18,57.6,58.47,9371,EQ,79,118.62,8496
2026-03-13,58.48,58.48,56.69,56.75,12493,EQ,172,72.63,11795
2026-03-16,56.75,58.5,55.8,57.06,28809,EQ,123,234.22,18153
2026-03-17,57.34,57.97,56.66,57.47,17911,EQ,75,238.81,15403
2026-03-18,58.15,58.62,57.94,58.42,1593,EQ,34,46.85,1521
2026-03-19,57.61,58.11,56.26,56.56,16321,EQ,164,99.52,15267
2026-03-20,56.02,57.97,56.02,56.84,9603,EQ,70,137.19,8900
